artifact	role	bytes	sha256	external_path	hetzner_path
snapshot-940611	raw-core-v2	9427476008	f864896ea6d9789a7d0f7d21e1405096f4e44a7bd674cdeca1b8ac354980d8c8	/Volumes/Bitcoin/data/archive/txoutset_940611.dat	/home/pir/data/snapshots/txoutset_940611.dat
snapshot-948454	raw-core-v2	9422874286	e5ed70c794830d6db2d7ebb7ad3965b126067457a977f370ec5e876139dcf6ff	/Volumes/Bitcoin/data/archive/txoutset_948454.dat	/home/pir/data/snapshots/txoutset_948454.dat
db0-direct-index	direct-oram-input	1345875975	d0b9573488abdda8e17dc52bb52bf5ff11520b4511683020f5f1a22bc8d8d26c	/Volumes/Bitcoin/data/archive/local-oram-repro-20260811/db0/oram-direct-inputs/utxo_chunks_index_nodust.bin	/home/pir/data/attestations/mainnet_948454_oram_sev_snp/run/oram-direct-inputs/utxo_chunks_index_nodust.bin
db0-direct-chunk	direct-oram-input	3239380480	9a81a02bf82af49414b5f2ae6380c97c1f231fcac6890b605f6cde22b0adc521	/Volumes/Bitcoin/data/archive/local-oram-repro-20260811/db0/oram-direct-inputs/utxo_chunks_nodust.bin	/home/pir/data/attestations/mainnet_948454_oram_sev_snp/run/oram-direct-inputs/utxo_chunks_nodust.bin
db1-direct-index	direct-oram-input	125867300	e06fc3dedf30096124888acef3024f21a9c049d59fd8c7d518aaf8a58ac6aa16	/Volumes/Bitcoin/data/oram-inputs/deltas/940611_948454_canonical_20260615/utxo_chunks_index_nodust.bin	/home/pir/data/debug-handoff/production-940611-948454/direct-inputs/db1/utxo_chunks_index_nodust.bin
db1-direct-chunk	direct-oram-input	340230840	536acb605396056118c7c0836988f369c5abbfc3f7e90732ad93e819d5188e0a	/Volumes/Bitcoin/data/oram-inputs/deltas/940611_948454_canonical_20260615/utxo_chunks_nodust.bin	/home/pir/data/debug-handoff/production-940611-948454/direct-inputs/db1/utxo_chunks_nodust.bin
checkpoint-948454-manifest	server-db-manifest	2414	c19e96751139093b016fbcce130bbda24f1e3193b5bb82b44ed5a0a46b96a483	/Volumes/Bitcoin/data/checkpoints/948454_deterministic/MANIFEST.toml	/home/pir/data/checkpoints/948454_deterministic/MANIFEST.toml
delta-940611-948454-manifest	server-db-manifest	2108	6775f9c4f31d1643bc5aa6a040cb496d34268d9465a3ca43ee5e50f474f00d04	/Volumes/Bitcoin/data/archive/production-940611-948454/hetzner-delta-canonical/MANIFEST.toml	/home/pir/data/deltas/940611_948454_canonical_20260615/MANIFEST.toml
db0-v2-server-manifest	live-v2-evidence	2760	91421138ba94e44665bef2617af296b1c1847dea13c4df29b565012d1e0b74a6	/Volumes/Bitcoin/data/archive/vpsbg-snapshot-native-v2-success-20260810/output/server-db-MANIFEST.toml	/home/pir/data/debug-handoff/production-940611-948454/v2-evidence/db0/server-db-MANIFEST.toml
db1-v2-server-manifest	live-v2-evidence	2156	047a5b6713bf0df29d9de308fb47ff757243e365a9818cf746f399bea457d00c	/Volumes/Bitcoin/data/archive/vpsbg-delta-native-v2-success-20260810/output/server-db-MANIFEST.toml	/home/pir/data/debug-handoff/production-940611-948454/v2-evidence/db1/server-db-MANIFEST.toml
uki-image-265	production-release	119155200	4eda0d969f7f3163789941a38f76b50e9445a099243f3df492e39ee3b03e71d5	/Volumes/Bitcoin/data/archive/uki-release/tier3-98234285-policy8-20260813/tier3-98234285-policy8-20260812T233924Z-4eda0d969f7f.efi	/home/pir/uki-archive/tier3/tier3-98234285-policy8-20260812T233924Z-4eda0d969f7f.efi
